Device: cpu
Starting training...
Epoch     0 | Loss: 118.794044 | s_MSE: 109.521141 | Delta_MSE: 9.271586 | LR: 1.0e-03 | Grad: 15.8105 | B_mean: 0.0003 | B0_calc: -0.0003 | Mass_mean: 1.3900 | L1_sum: 0.3307 | L2_sum: 24.9810 
Epoch  6700 | Loss: 0.000060 | s_MSE: 0.000021 | Delta_MSE: 0.000033 | LR: 1.0e-03 | Grad: 0.1067 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.5964 | L1_sum: 0.2309 | L2_sum: 0.3988 
Epoch  6800 | Loss: 0.002697 | s_MSE: 0.001582 | Delta_MSE: 0.001102 | LR: 1.0e-03 | Grad: 1.1325 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.5937 | L1_sum: 0.3479 | L2_sum: 0.2248 
Epoch  6900 | Loss: 0.000187 | s_MSE: 0.000125 | Delta_MSE: 0.000057 | LR: 1.0e-03 | Grad: 0.6510 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.5964 | L1_sum: 0.2066 | L2_sum: 0.5040 
Epoch  7000 | Loss: 0.000051 | s_MSE: 0.000021 | Delta_MSE: 0.000024 | LR: 1.0e-03 | Grad: 0.0196 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5923 | L1_sum: 0.2196 | L2_sum: 0.4601 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_7000.png
Epoch  7100 | Loss: 0.001652 | s_MSE: 0.001157 | Delta_MSE: 0.000477 | LR: 1.0e-03 | Grad: 1.9376 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.5889 | L1_sum: 0.4005 | L2_sum: 0.3025 
Epoch  7200 | Loss: 0.000050 | s_MSE: 0.000022 | Delta_MSE: 0.000023 | LR: 1.0e-03 | Grad: 0.0119 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5881 | L1_sum: 0.2257 | L2_sum: 0.3968 
Epoch  7300 | Loss: 0.000050 | s_MSE: 0.000020 | Delta_MSE: 0.000024 | LR: 1.0e-03 | Grad: 0.0224 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5909 | L1_sum: 0.1910 | L2_sum: 0.4699 
Epoch  7400 | Loss: 0.000052 | s_MSE: 0.000019 | Delta_MSE: 0.000026 | LR: 1.0e-03 | Grad: 0.0668 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5864 | L1_sum: 0.2447 | L2_sum: 0.4032 
Epoch  7500 | Loss: 0.005444 | s_MSE: 0.004025 | Delta_MSE: 0.001413 | LR: 1.0e-03 | Grad: 1.4234 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5905 | L1_sum: 0.2283 | L2_sum: 0.2698 
Epoch  7600 | Loss: 0.000049 | s_MSE: 0.000020 | Delta_MSE: 0.000024 | LR: 1.0e-03 | Grad: 0.0655 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5870 | L1_sum: 0.2047 | L2_sum: 0.3354 
Epoch  7700 | Loss: 0.000048 | s_MSE: 0.000018 | Delta_MSE: 0.000023 | LR: 1.0e-03 | Grad: 0.0143 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5843 | L1_sum: 0.2391 | L2_sum: 0.3732 
Epoch  7800 | Loss: 0.000119 | s_MSE: 0.000035 | Delta_MSE: 0.000072 | LR: 1.0e-03 | Grad: 0.0877 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5856 | L1_sum: 0.3284 | L2_sum: 0.2392 
Epoch  7900 | Loss: 0.000148 | s_MSE: 0.000100 | Delta_MSE: 0.000042 | LR: 1.0e-03 | Grad: 0.4971 | B_mean: 0.0022 | B0_calc: 0.0001 | Mass_mean: 0.5849 | L1_sum: 0.2146 | L2_sum: 0.3882 
Epoch  8000 | Loss: 0.000047 | s_MSE: 0.000017 | Delta_MSE: 0.000023 | LR: 1.0e-03 | Grad: 0.0270 | B_mean: 0.0021 | B0_calc: 0.0001 | Mass_mean: 0.5837 | L1_sum: 0.2375 | L2_sum: 0.4250 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_8000.png
Epoch  8100 | Loss: 0.000326 | s_MSE: 0.000257 | Delta_MSE: 0.000053 | LR: 1.0e-03 | Grad: 0.7210 | B_mean: 0.0021 | B0_calc: 0.0001 | Mass_mean: 0.5839 | L1_sum: 0.3863 | L2_sum: 0.3512 
Epoch  8200 | Loss: 0.000107 | s_MSE: 0.000052 | Delta_MSE: 0.000048 | LR: 1.0e-03 | Grad: 0.2286 | B_mean: 0.0021 | B0_calc: 0.0001 | Mass_mean: 0.5827 | L1_sum: 0.2381 | L2_sum: 0.3658 
Epoch  8300 | Loss: 0.000629 | s_MSE: 0.000466 | Delta_MSE: 0.000152 | LR: 1.0e-03 | Grad: 1.1113 | B_mean: 0.0020 | B0_calc: 0.0001 | Mass_mean: 0.5839 | L1_sum: 0.3236 | L2_sum: 0.1993 
Epoch  8400 | Loss: 0.000797 | s_MSE: 0.000644 | Delta_MSE: 0.000145 | LR: 1.0e-03 | Grad: 0.5576 | B_mean: 0.0021 | B0_calc: 0.0001 | Mass_mean: 0.5836 | L1_sum: 0.2663 | L2_sum: 0.2538 
Epoch  8500 | Loss: 0.002617 | s_MSE: 0.001970 | Delta_MSE: 0.000641 | LR: 1.0e-03 | Grad: 2.3039 | B_mean: 0.0019 | B0_calc: 0.0001 | Mass_mean: 0.5853 | L1_sum: 0.2218 | L2_sum: 0.3857 
Epoch  8600 | Loss: 0.000048 | s_MSE: 0.000017 | Delta_MSE: 0.000023 | LR: 1.0e-03 | Grad: 0.0196 | B_mean: 0.0020 | B0_calc: 0.0001 | Mass_mean: 0.5810 | L1_sum: 0.2582 | L2_sum: 0.3986 
Epoch  8700 | Loss: 0.000076 | s_MSE: 0.000039 | Delta_MSE: 0.000027 | LR: 1.0e-03 | Grad: 0.2207 | B_mean: 0.0020 | B0_calc: 0.0001 | Mass_mean: 0.5810 | L1_sum: 0.2917 | L2_sum: 0.4103 
Epoch  8800 | Loss: 0.000976 | s_MSE: 0.000773 | Delta_MSE: 0.000191 | LR: 1.0e-03 | Grad: 1.1886 | B_mean: 0.0021 | B0_calc: 0.0001 | Mass_mean: 0.5785 | L1_sum: 0.3300 | L2_sum: 0.2564 
Epoch  8900 | Loss: 0.000049 | s_MSE: 0.000018 | Delta_MSE: 0.000024 | LR: 1.0e-03 | Grad: 0.0077 | B_mean: 0.0020 | B0_calc: 0.0001 | Mass_mean: 0.5803 | L1_sum: 0.2536 | L2_sum: 0.3870 
Epoch  9000 | Loss: 0.000052 | s_MSE: 0.000021 | Delta_MSE: 0.000021 | LR: 1.0e-03 | Grad: 0.0555 | B_mean: 0.0020 | B0_calc: 0.0001 | Mass_mean: 0.5790 | L1_sum: 0.2904 | L2_sum: 0.4980 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_9000.png
Epoch  9100 | Loss: 0.000058 | s_MSE: 0.000019 | Delta_MSE: 0.000030 | LR: 1.0e-03 | Grad: 0.0158 | B_mean: 0.0020 | B0_calc: 0.0001 | Mass_mean: 0.5803 | L1_sum: 0.2809 | L2_sum: 0.2746 
Epoch  9200 | Loss: 0.002422 | s_MSE: 0.001804 | Delta_MSE: 0.000610 | LR: 1.0e-03 | Grad: 2.0254 | B_mean: 0.0019 | B0_calc: 0.0001 | Mass_mean: 0.5817 | L1_sum: 0.2609 | L2_sum: 0.3399 
